parameter,value,CV,se_sa,rse_sa,P2.5_sa,P97.5_sa
Cl_pop,0.289724782141957,,0.0947713697758039,32.7108261416755,0.159354,0.526755
beta_Cl_eGFR,0.0147308503202921,,0.00344270919449068,23.3707431657781,0.00798326,0.0214784
V1_pop,13.5219426177374,,1.02117935005519,7.55201659202176,11.6689,15.6693
Q_pop,4.54487333400432,,1.24661242411626,27.4289805788255,2.72687,7.57493
V2_pop,5.28232024646609,,0.70915302418673,13.4250289853433,4.07423,6.84863
omega_Cl,0.319281711209695,32.759415268358,0.0415569914512387,13.0157757216308,0.24817,0.41077
omega_V1,0.370923335094649,38.4054983117525,0.0519958213337466,14.0179429046918,0.282918,0.486304
omega_Q,0.282555108693221,28.8289660045355,0.161804315802008,57.2646930895466,0.11009,0.725204
omega_V2,0.318891331235553,32.717288571036,0.178729263023834,56.0470748236845,0.126116,0.806333
a1,0.00186542687290095,,0.000801101195486557,42.9446582508354,0.000878416,0.00396147
b1,0.19753591916939,,0.0102054151390329,5.16635920289595,0.178549,0.218542
