,"",,321 runs with miminization terminated were skipped when calculating the bootstrap results,
diagnostic.means
"","covariance.step.run","minimization.successful","covariance.step.successful","covariance.step.warnings","estimate.near.boundary","rounding.errors","zero.gradients","final.zero.gradients"," hessian.reset","s.matrix.singular","significant.digits","condition.number","   est.methods","model.run.time","subprob.est.time","subprob.cov.time",
"",             0,        0.8395,             0,             0,             0,         0.117,         0.013,         0.013,         0.225,             0,      3.247487,              NA,             0,              NA,      333.1858,             0,
means
"","           ofv","","             _","            __","           ___","          ____","         _____","        ______","       _______","      ________","     _________","            se","           se_","          se__","         se___","        se____","       se_____","      se______","     se_______","    se________","   se_________","shrinkage_eta1(%)","shrinkage_eta2(%)","shrinkage_iwres(%)","           EI1","           EI2","           EI3","           EI4","           EI5","           EI6","           EI7","           EI8","           EI9","          EI10",
"",-7457.43145417709,      1.590846,      8.347002,      56.45147,      43.96228,       20.5395,    0.04167189,     0.8422922,    0.09531303,     0.2727414,    0.04588298,
bias
"","           ofv","","             _","            __","           ___","          ____","         _____","        ______","       _______","      ________","     _________","            se","           se_","          se__","         se___","        se____","       se_____","      se______","     se_______","    se________","   se_________","shrinkage_eta1(%)","shrinkage_eta2(%)","shrinkage_iwres(%)","           EI1","           EI2","           EI3","           EI4","           EI5","           EI6","           EI7","           EI8","           EI9","          EI10",
"",-22.8893146387154,   0.001626075,    0.03237201,     0.3622668,-0.019218165574685,-0.0473043478260813,  0.0003084924,   0.002148219,-0.00380297307921372,-0.00718862596783798,-0.000490016438356118,
standard.error.confidence.intervals
"","           ofv","","             _","            __","           ___","          ____","         _____","        ______","       _______","      ________","     _________","            se","           se_","          se__","         se___","        se____","       se_____","      se______","     se_______","    se________","   se_________","shrinkage_eta1(%)","shrinkage_eta2(%)","shrinkage_iwres(%)","           EI1","           EI2","           EI3","           EI4","           EI5","           EI6","           EI7","           EI8","           EI9","          EI10",
"         0.05%",-8211.35995474984,      1.239761,      6.658216,      37.37024,      35.63344,       15.7073,    0.02463211,     0.6830847,      0.030312,    0.09617118,    0.03346757,
"          0.5%",-8042.63432261745,      1.315664,      7.017991,      41.43602,      37.44665,      16.76713,    0.02826617,     0.7171982,     0.0452563,     0.1360838,    0.03627064,
"          2.5%",-7897.25689954885,      1.381064,       7.32798,      44.93918,      39.00894,      17.68031,    0.03139734,      0.746591,    0.05813261,     0.1704733,    0.03868583,
"            5%",-7822.86841950839,      1.414528,      7.486599,      46.73171,      39.80836,      18.14757,    0.03299954,     0.7616311,    0.06472132,     0.1880701,    0.03992166,
"           95%",-7046.21585956836,      1.763912,      9.142661,      65.44669,      48.15464,      23.02603,    0.04972726,     0.9186569,     0.1335107,     0.3717899,    0.05282434,
"         97.5%",-6971.8273795279,      1.797376,       9.30128,      67.23922,      48.95406,      23.49329,    0.05132946,      0.933697,     0.1400994,     0.3893867,    0.05406017,
"         99.5%",-6826.44995645931,      1.862776,      9.611269,      70.74238,      50.51635,      24.40647,    0.05446063,     0.9630898,     0.1529757,     0.4237762,    0.05647536,
"        99.95%",-6657.72432432692,      1.938679,      9.971044,      74.80816,      52.32956,       25.4663,    0.05809469,     0.9972033,       0.16792,     0.4636888,    0.05927843,
standard.errors
"","           ofv","","             _","            __","           ___","          ____","         _____","        ______","       _______","      ________","     _________","            se","           se_","          se__","         se___","        se____","       se_____","      se______","     se_______","    se________","   se_________","shrinkage_eta1(%)","shrinkage_eta2(%)","shrinkage_iwres(%)","           EI1","           EI2","           EI3","           EI4","           EI5","           EI6","           EI7","           EI8","           EI9","          EI10",
"",       236.079,     0.1062023,     0.5033928,      5.688788,      2.537018,      1.482905,   0.005084725,    0.04773113,    0.02090989,    0.05584526,   0.003922027,
medians
"","           ofv","","             _","            __","           ___","          ____","         _____","        ______","       _______","      ________","     _________","            se","           se_","          se__","         se___","        se____","       se_____","      se______","     se_______","    se________","   se_________","shrinkage_eta1(%)","shrinkage_eta2(%)","shrinkage_iwres(%)","           EI1","           EI2","           EI3","           EI4","           EI5","           EI6","           EI7","           EI8","           EI9","          EI10",
"",-7448.6345261512224,       1.58787,       8.34018,       56.2523,       44.0435,       20.4806,      0.041435,      0.839963,     0.0946412,      0.269757,     0.0458814,
percentile.confidence.intervals
"","           ofv","","             _","            __","           ___","          ____","         _____","        ______","       _______","      ________","     _________","            se","           se_","          se__","         se___","        se____","       se_____","      se______","     se_______","    se________","   se_________","shrinkage_eta1(%)","shrinkage_eta2(%)","shrinkage_iwres(%)","           EI1","           EI2","           EI3","           EI4","           EI5","           EI6","           EI7","           EI8","           EI9","          EI10",
"         0.05%",              NA,              NA,              NA,              NA,              NA,              NA,              NA,              NA,              NA,              NA,              NA,
"          0.5%",-8146.79983351865,      1.306178,      7.158088,      43.29732,      37.12734,      16.82132,    0.03039142,     0.7352902,    0.04363816,     0.1472106,    0.03670402,
"          2.5%",-7953.35769285663,       1.39011,       7.37211,       45.6979,        38.879,       17.7762,     0.0323317,      0.754378,     0.0564872,      0.169718,     0.0388286,
"            5%",-7862.72854528134,       1.41843,       7.50176,       47.5291,       39.7855,       18.1293,     0.0338206,      0.767952,      0.061691,      0.185346,     0.0396764,
"           95%",-7088.82928448035,       1.76546,        9.1817,       66.0522,       48.0593,       23.0038,     0.0504351,      0.927238,       0.13095,      0.368608,     0.0523314,
"         97.5%",-7012.99786922051,       1.80477,       9.38842,       67.9919,       48.6477,        23.468,     0.0525371,      0.942002,      0.137765,       0.38844,     0.0540414,
"         99.5%",-6858.6132932874,       1.88109,      9.691016,      73.06914,      50.13308,      24.87494,    0.05680026,     0.9771776,     0.1559964,     0.4302218,     0.0576524,
"        99.95%",              NA,              NA,              NA,              NA,              NA,              NA,              NA,              NA,              NA,              NA,              NA,
