"model","problem","subproblem","covariance_step_run","minimization_successful","covariance_step_successful","covariance_step_warnings","estimate_near_boundary","rounding_errors","zero_gradients","final_zero_gradients","hessian_reset","s_matrix_singular","significant_digits","condition_number","est_methods","model_run_time","subprob_est_time","subprob_cov_time","ofv","EGFRCL","CL","V1","V2","Q","KD","N","ETA(1)","ETA(2)","EPS(1)","seEGFRCL","seCL","seV1","seV2","seQ","seKD","seN","seETA(1)","seETA(2)","seEPS(1)","shrinkage_eta1(%)","shrinkage_eta2(%)","shrinkage_iwres(%)","EI1","EI2","EI3","EI4","EI5","EI6","EI7","EI8","EI9","EI10"
0,1,1,1,1,1,0,0,0,0,0,1,0,3.1,NA,FOCE_I,NA,112.84,11.89,-7434.5421395383773,1.58922,8.31463,56.0892,43.9815,20.5868,0.0413634,0.840144,0.099116,0.27993,0.046373,0.124158,0.580975,8.53129,1.92329,2.68826,0.00259924,0.0380253,0.0397395,0.121551,0.00148202,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
1,1,1,0,1,0,0,0,0,0,0,0,0,3.5,NA,FOCE_I,NA,253.95,0,-7584.3029489525852,1.66603,8.58804,54.3797,45.343,20.2032,0.0551325,0.982202,0.130831,0.283031,0.0390899,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
2,1,1,0,1,0,0,0,0,0,0,2,0,3.4,NA,FOCE_I,NA,397.67,0,-7445.9097940357206,1.82757,8.72526,49.4722,40.7246,21.1034,0.041435,0.824381,0.112452,0.32759,0.0427623,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
3,1,1,0,1,0,0,0,0,0,0,0,0,3.3,NA,FOCE_I,NA,164.45,0,-7668.3837159694422,1.4777,9.59614,62.6154,43.2227,20.0667,0.0424395,0.853118,0.0575835,0.263475,0.0490436,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
4,1,1,0,1,0,0,0,0,0,0,0,0,3.2,NA,FOCE_I,NA,265.48,0,-7409.8106854124871,1.51289,8.06195,50.0358,41.6781,19.4883,0.0568583,0.956138,0.0640818,0.158936,0.0445641,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
5,1,1,0,0,0,0,0,0,0,0,1,0,NA,NA,FOCE_I,NA,324.02,0,-7374.2557380519456,1.65054,8.14116,48.0645,43.5973,21.1749,0.0524514,0.900873,0.103992,0.267471,0.0482758,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
6,1,1,0,1,0,0,0,0,0,0,0,0,3.7,NA,FOCE_I,NA,202.11,0,-7240.8043415372167,1.59626,8.19022,55.6827,42.3882,20.3005,0.039458,0.813858,0.102553,0.21484,0.0439584,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
7,1,1,0,1,0,0,0,0,0,0,0,0,3.5,NA,FOCE_I,NA,116.52,0,-7833.9119060725379,1.61134,8.59804,63.2211,41.6653,18.9702,0.0366136,0.791939,0.0607947,0.250651,0.0499488,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
8,1,1,0,1,0,0,0,0,0,0,0,0,3.4,NA,FOCE_I,NA,161.52,0,-7258.0907662778782,1.67663,7.62272,50.7328,49.2415,20.0292,0.04504,0.876774,0.116847,0.319305,0.0436834,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
9,1,1,0,1,0,0,0,0,0,0,1,0,3.4,NA,FOCE_I,NA,236.04,0,-7263.0083972067760,1.4232,7.33991,55.5595,39.4158,18.9161,0.0391265,0.803542,0.0929132,0.299575,0.0405518,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
