VPC run info
"","          Date","  observations","   simulations","     Modelfile","Simulation model","Independent variable","Dependent variable","   PsN version","NONMEM version",
"",     2025-12-2,           992,           200,     run03.mod,auto-generated,           TAD,          CONC,        v5.6.0,       default,

VPC results  
Continuous data
992 observations out of 992
"","         < TAD","            <=","    median.idv","    no. of obs","     mean real","      mean sim","95%CI for mean from","95%CI for mean to","      50% real","       50% sim","95%CI for 50% from","95%CI for 50% to","      30% real","       30% sim","95%CI for 30% from","95%CI for 30% to","      70% real","       70% sim","95%CI for 70% from","95%CI for 70% to","      10% real","       10% sim","95%CI for 10% from","95%CI for 10% to","      90% real","       90% sim","95%CI for 90% from","95%CI for 90% to","       5% real","        5% sim","95%CI for 5% from","95%CI for 5% to","      95% real","       95% sim","95%CI for 95% from","95%CI for 95% to","     2.5% real","      2.5% sim","95%CI for 2.5% from","95%CI for 2.5% to","    97.5% real","     97.5% sim","95%CI for 97.5% from","95%CI for 97.5% to","PI 40% False pos (%)","PI 40% False neg (%)","PI 80% False pos (%)","PI 80% False neg (%)","PI 90% False pos (%)","PI 90% False neg (%)","PI 95% False pos (%)","PI 95% False neg (%)",
"first interval is closed",   0.002906977,         0.375,          0.25,            86,     0.1530082,     0.1566662,     0.1352352,     0.1787025,       0.13325,       0.11886,     0.0932745,       0.15332,    5.2547E-02,    5.3778E-02,    4.4410E-02,    7.2030E-02,    2.1393E-01,    2.2033E-01,    1.8990E-01,    2.5677E-01,    2.3241E-02,    2.6830E-02,    2.1146E-02,    3.5991E-02,    3.1513E-01,    3.4005E-01,    2.8837E-01,    3.9616E-01,    1.7739E-02,    2.0284E-02,    1.5210E-02,    2.7971E-02,    3.6885E-01,    3.9646E-01,    3.3202E-01,    4.6283E-01,    1.6433E-02,    1.6556E-02,    1.1235E-02,    2.4760E-02,    4.1803E-01,    4.4589E-01,    3.5733E-01,    5.4321E-01,       24.4186,       24.4186,      13.95349,      13.95349,      10.46512,      6.976744,      2.325581,      4.651163,
"",         0.375,         0.875,         0.625,           122,     0.1900885,     0.1815476,     0.1675879,     0.1971942,      0.152615,       0.14249,       0.11905,      0.168515,    6.3962E-02,    6.5017E-02,    5.3994E-02,    7.8006E-02,    2.5643E-01,    2.3916E-01,    2.1403E-01,    2.6975E-01,    2.7362E-02,    2.7186E-02,    2.2204E-02,    3.3704E-02,    4.1025E-01,    4.0293E-01,    3.4512E-01,    4.5494E-01,    1.9979E-02,    2.0391E-02,    1.6205E-02,    2.6894E-02,    5.1173E-01,    4.8617E-01,    4.0795E-01,    5.6740E-01,    1.7003E-02,    1.6642E-02,    1.2408E-02,    2.3110E-02,    5.6203E-01,    5.5285E-01,    4.5570E-01,    6.5318E-01,      21.31148,      25.40984,      16.39344,       20.4918,      11.47541,      10.65574,      5.737705,      5.737705,
"",         0.875,        1.8125,         1.125,           172,     0.1754397,     0.1708418,     0.1586208,     0.1822032,       0.11986,      0.123085,       0.10784,      0.137755,    6.8495E-02,    6.6923E-02,    5.7282E-02,    7.7677E-02,    2.2763E-01,    2.3470E-01,    2.0966E-01,    2.5884E-01,    2.5405E-02,    2.5000E-02,    2.1121E-02,    2.9936E-02,    4.1072E-01,    3.8451E-01,    3.4888E-01,    4.1683E-01,    1.8424E-02,    1.8612E-02,    1.5944E-02,    2.2551E-02,    4.5557E-01,    4.4213E-01,    3.8592E-01,    4.8578E-01,    1.2020E-02,    1.5059E-02,    1.1526E-02,    1.8671E-02,    5.1688E-01,    4.8934E-01,    4.2499E-01,    5.5941E-01,      20.34884,      26.16279,      15.11628,      13.37209,       8.72093,       7.55814,      6.395349,      3.488372,
"",        1.8125,        4.3125,          2.25,           124,     0.1300577,     0.1268844,     0.1188665,     0.1362306,     0.0902715,     0.0881635,      0.075829,      0.106115,    4.2368E-02,    4.0115E-02,    3.3728E-02,    4.7785E-02,    1.8007E-01,    1.7260E-01,    1.5299E-01,    1.9107E-01,    1.6863E-02,    1.6716E-02,    1.4239E-02,    2.0103E-02,    3.2803E-01,    2.9804E-01,    2.6218E-01,    3.3219E-01,    1.2066E-02,    1.2986E-02,    1.0787E-02,    1.5828E-02,    3.4864E-01,    3.4945E-01,    3.0551E-01,    3.9243E-01,    1.0719E-02,    1.0758E-02,    8.3005E-03,    1.3830E-02,    3.7857E-01,    3.9231E-01,    3.3624E-01,    4.4337E-01,      20.96774,            25,      17.74194,      13.70968,      6.451613,      8.064516,      4.032258,      6.451613,
"",        4.3125,        9.3125,          6.25,           124,    0.09906679,    0.09514754,    0.08685821,     0.1051516,      0.056737,      0.058194,      0.047974,     0.0697955,    3.0978E-02,    2.6485E-02,    2.2440E-02,    3.2166E-02,    1.2654E-01,    1.2580E-01,    1.0663E-01,    1.4332E-01,    1.1359E-02,    1.0112E-02,    7.9058E-03,    1.3070E-02,    2.5813E-01,    2.4002E-01,    2.0178E-01,    2.7177E-01,    7.2225E-03,    7.4631E-03,    5.4134E-03,    9.7863E-03,    2.7812E-01,    2.8521E-01,    2.4542E-01,    3.2429E-01,    6.2695E-03,    5.9935E-03,    4.0628E-03,    8.2590E-03,    3.2288E-01,    3.2351E-01,    2.7249E-01,    3.7560E-01,      24.19355,       26.6129,      16.12903,      16.12903,      8.064516,      8.064516,      4.032258,       4.83871,
"",        9.3125,       16.3125,         12.25,           126,    0.07565429,    0.07528055,    0.06645474,    0.08413751,      0.034254,      0.040097,     0.0328035,        0.0477,    2.0574E-02,    1.8147E-02,    1.4934E-02,    2.3189E-02,    1.1249E-01,    9.3640E-02,    7.7563E-02,    1.1439E-01,    6.4604E-03,    6.2201E-03,    4.4390E-03,    8.9519E-03,    2.0202E-01,    1.9921E-01,    1.7019E-01,    2.3195E-01,    3.8543E-03,    4.0938E-03,    2.6570E-03,    5.9110E-03,    2.2506E-01,    2.4591E-01,    2.0478E-01,    2.9661E-01,    2.6830E-03,    2.9074E-03,    1.5774E-03,    4.6902E-03,    2.3734E-01,    2.8880E-01,    2.3100E-01,    3.5034E-01,      24.60317,      28.57143,      14.28571,      13.49206,      6.349206,      8.730159,      3.174603,      3.968254,
"",       16.3125,        22.125,         20.25,           120,    0.05072854,     0.0516964,    0.04242236,    0.06039929,     0.0241895,      0.023199,      0.017104,     0.0298175,    1.2541E-02,    9.5495E-03,    7.2363E-03,    1.3042E-02,    5.8786E-02,    5.7053E-02,    4.1343E-02,    7.3925E-02,    3.4264E-03,    2.7966E-03,    1.6869E-03,    4.3592E-03,    1.4322E-01,    1.4748E-01,    1.1064E-01,    1.7588E-01,    2.0227E-03,    1.6287E-03,    7.3905E-04,    2.8112E-03,    1.7100E-01,    1.9412E-01,    1.4754E-01,    2.2677E-01,    1.4415E-03,    9.7987E-04,    4.0802E-04,    2.3516E-03,    1.8796E-01,    2.3361E-01,    1.7021E-01,    2.7208E-01,      23.33333,      29.16667,      14.16667,      11.66667,      6.666667,      6.666667,             0,           2.5,
"",        22.125,        25.375,         23.75,           118,    0.04277672,    0.04190986,    0.03414647,    0.05003663,      0.018512,     0.0176605,     0.0130895,      0.023263,    8.7692E-03,    7.0169E-03,    5.2371E-03,    9.2844E-03,    4.2070E-02,    4.3956E-02,    3.3408E-02,    5.8498E-02,    2.6008E-03,    2.0095E-03,    1.2963E-03,    3.2567E-03,    1.1463E-01,    1.2002E-01,    9.0022E-02,    1.4352E-01,    9.6427E-04,    1.1044E-03,    5.6451E-04,    2.1942E-03,    1.6271E-01,    1.6305E-01,    1.2522E-01,    1.9252E-01,    8.8333E-04,    6.5636E-04,    2.6829E-04,    1.6361E-03,    1.9360E-01,    2.0538E-01,    1.4851E-01,    2.5680E-01,       22.0339,      28.81356,      13.55932,      10.16949,      10.16949,      7.627119,      1.694915,      5.084746,

Diagnostics VPC  
""," False pos (%)"," False neg (%)",
"       PI 40% ",      22.47984,      26.81452,
"       PI 80% ",      15.22177,       14.1129,
"       PI 90% ",      8.467742,      8.064516,
"       PI 95% ",      3.629032,       4.53629,

NPC results  
bin 2: 86 observations
"","points below PI (count)","points below PI (%)","outside CI for below PI","95% CI below: from (%)","95% CI below: to (%)","points above PI (count)","points above PI (%)","outside CI for above PI","95% CI above: from (%)","95% CI above: to (%)",
"         0% PI",            44,      51.16279,              ,      36.04651,      67.44186,            42,      48.83721,              ,      32.55814,      63.95349,
"        40% PI",            32,       37.2093,              ,      17.44186,      46.51163,            20,      23.25581,              ,      16.27907,      46.51163,
"        80% PI",             9,      10.46512,              ,      2.325581,      20.93023,             8,      9.302326,              ,      2.325581,      19.76744,
"        90% PI",             2,      2.325581,              ,             0,      11.62791,             6,      6.976744,              ,             0,      13.95349,
"        95% PI",             1,      1.162791,              ,             0,      6.976744,             5,      5.813953,              ,             0,      8.139535,

NPC results  
bin 3: 122 observations
"","points below PI (count)","points below PI (%)","outside CI for below PI","95% CI below: from (%)","95% CI below: to (%)","points above PI (count)","points above PI (%)","outside CI for above PI","95% CI above: from (%)","95% CI above: to (%)",
"         0% PI",            57,      46.72131,              ,      37.70492,      62.29508,            65,      53.27869,              ,      37.70492,      62.29508,
"        40% PI",            36,       29.5082,              ,      19.67213,      40.16393,            46,      37.70492,              ,       20.4918,      40.16393,
"        80% PI",            11,      9.016393,              ,      4.098361,      15.57377,            19,      15.57377,              ,      4.098361,      18.03279,
"        90% PI",             4,      3.278689,              ,     0.8196721,      9.836066,            10,      8.196721,              ,     0.8196721,      10.65574,
"        95% PI",             2,      1.639344,              ,             0,      6.557377,             6,      4.918033,              ,             0,      6.557377,

NPC results  
bin 4: 172 observations
"","points below PI (count)","points below PI (%)","outside CI for below PI","95% CI below: from (%)","95% CI below: to (%)","points above PI (count)","points above PI (%)","outside CI for above PI","95% CI above: from (%)","95% CI above: to (%)",
"         0% PI",            82,      47.67442,              ,      40.69767,      60.46512,            90,      52.32558,              ,      39.53488,      59.30233,
"        40% PI",            53,      30.81395,              ,      20.34884,      38.95349,            58,      33.72093,              ,      20.34884,      38.95349,
"        80% PI",            18,      10.46512,              ,      5.232558,      16.27907,            19,      11.04651,              ,      4.069767,      15.69767,
"        90% PI",             6,      3.488372,              ,      1.744186,      9.302326,            13,       7.55814,              ,      1.162791,      9.302326,
"        95% PI",             3,      1.744186,              ,     0.5813953,      5.232558,             6,      3.488372,              ,     0.5813953,      5.813953,

NPC results  
bin 5: 124 observations
"","points below PI (count)","points below PI (%)","outside CI for below PI","95% CI below: from (%)","95% CI below: to (%)","points above PI (count)","points above PI (%)","outside CI for above PI","95% CI above: from (%)","95% CI above: to (%)",
"         0% PI",            56,      45.16129,              ,      38.70968,      61.29032,            68,      54.83871,              ,      38.70968,      61.29032,
"        40% PI",            36,      29.03226,              ,      20.16129,      39.51613,            43,      34.67742,              ,      20.96774,      39.51613,
"        80% PI",            11,      8.870968,              ,      4.032258,      16.93548,            12,      9.677419,              ,       4.83871,      16.93548,
"        90% PI",             9,      7.258065,              ,      1.612903,      9.677419,             6,       4.83871,              ,      1.612903,      10.48387,
"        95% PI",             5,      4.032258,              ,             0,      5.645161,             5,      4.032258,              ,             0,      5.645161,

NPC results  
bin 6: 124 observations
"","points below PI (count)","points below PI (%)","outside CI for below PI","95% CI below: from (%)","95% CI below: to (%)","points above PI (count)","points above PI (%)","outside CI for above PI","95% CI above: from (%)","95% CI above: to (%)",
"         0% PI",            58,      46.77419,              ,      37.90323,      63.70968,            66,      53.22581,              ,      36.29032,      62.09677,
"        40% PI",            33,       26.6129,              ,      18.54839,      42.74194,            40,      32.25806,              ,      17.74194,      43.54839,
"        80% PI",            10,      8.064516,              ,      4.032258,      17.74194,            16,      12.90323,              ,      3.225806,      18.54839,
"        90% PI",             3,      2.419355,              ,     0.8064516,      10.48387,            11,      8.870968,              ,     0.8064516,      11.29032,
"        95% PI",             0,             0,              ,             0,      6.451613,             6,       4.83871,              ,             0,      7.258065,

NPC results  
bin 7: 126 observations
"","points below PI (count)","points below PI (%)","outside CI for below PI","95% CI below: from (%)","95% CI below: to (%)","points above PI (count)","points above PI (%)","outside CI for above PI","95% CI above: from (%)","95% CI above: to (%)",
"         0% PI",            67,       53.1746,              ,      35.71429,      61.90476,            59,       46.8254,              ,      38.09524,      64.28571,
"        40% PI",            41,      32.53968,              ,      15.07937,      41.26984,            37,      29.36508,              ,      18.25397,      42.85714,
"        80% PI",             9,      7.142857,              ,      2.380952,      18.25397,            16,      12.69841,              ,      3.968254,      19.04762,
"        90% PI",             3,      2.380952,              ,             0,      11.90476,            10,      7.936508,              ,     0.7936508,      12.69841,
"        95% PI",             1,     0.7936508,              ,             0,      7.142857,             6,      4.761905,              ,             0,      7.936508,

NPC results  
bin 8: 120 observations
"","points below PI (count)","points below PI (%)","outside CI for below PI","95% CI below: from (%)","95% CI below: to (%)","points above PI (count)","points above PI (%)","outside CI for above PI","95% CI above: from (%)","95% CI above: to (%)",
"         0% PI",            63,          52.5,              ,      34.16667,      64.16667,            57,          47.5,              ,      35.83333,      65.83333,
"        40% PI",            40,      33.33333,              ,            15,      44.16667,            37,      30.83333,              ,      16.66667,      46.66667,
"        80% PI",             4,      3.333333,              ,      1.666667,      19.16667,            15,          12.5,              ,           2.5,      18.33333,
"        90% PI",             0,             0,              ,             0,          12.5,             9,           7.5,              ,             0,      10.83333,
"        95% PI",             0,             0,              ,             0,      8.333333,             4,      3.333333,              ,             0,           7.5,

NPC results  
bin 9: 118 observations
"","points below PI (count)","points below PI (%)","outside CI for below PI","95% CI below: from (%)","95% CI below: to (%)","points above PI (count)","points above PI (%)","outside CI for above PI","95% CI above: from (%)","95% CI above: to (%)",
"         0% PI",            64,      54.23729,              ,      35.59322,      67.79661,            54,      45.76271,              ,      32.20339,      64.40678,
"        40% PI",            35,      29.66102,              ,      16.94915,      43.22034,            36,      30.50847,              ,      15.25424,      44.91525,
"        80% PI",             2,      1.694915,             *,      2.542373,      19.49153,            15,      12.71186,              ,      2.542373,      20.33898,
"        90% PI",             2,      1.694915,              ,             0,      11.01695,             9,      7.627119,              ,             0,      11.86441,
"        95% PI",             1,     0.8474576,              ,             0,      7.627119,             6,      5.084746,              ,             0,      7.627119,
